113.10	-81.30	-39.30
98.70	-81.30	-39.90
110.70	-76.50	-48.30
115.50	2.70	-71.10
101.10	74.70	-73.50
105.90	146.70	-71.70
91.50	192.30	-63.90
98.70	221.10	-55.50
91.50	230.70	-45.90
86.70	259.50	-37.50
89.10	237.90	-37.50
117.90	187.50	-35.70
129.90	180.30	-38.70
141.90	180.30	-32.70
139.50	187.50	-24.30
137.10	182.70	-18.90
146.70	81.90	-6.90
161.10	48.30	-19.50
170.70	36.30	-28.50
163.50	7.50	-32.70
158.70	7.50	-26.10
165.90	50.70	-25.50
146.70	72.30	-20.70
156.30	96.30	-20.70
153.90	149.10	-20.70
153.90	149.10	-28.50
149.10	151.50	-41.10
149.10	141.90	-51.90
134.70	153.90	-55.50
113.10	110.70	-69.30
134.70	43.50	-62.70
146.70	26.70	-59.70
146.70	-28.50	-45.30
125.10	-35.70	-47.10
129.90	-26.10	-58.50
108.30	53.10	-74.10
86.70	146.70	-74.70
77.10	213.90	-63.90
60.30	247.50	-54.90
65.10	264.30	-36.90
84.30	247.50	-23.10
125.10	163.50	-13.50
163.50	139.50	-22.50
165.90	91.50	-33.30
165.90	55.50	-33.30
173.10	29.10	-34.50
153.90	19.50	-42.30
151.50	36.30	-41.10
153.90	26.70	-34.50
168.30	14.70	-32.70
161.10	36.30	-23.70
144.30	48.30	-17.10
153.90	108.30	-18.30
134.70	141.90	-27.30
146.70	165.90	-42.90
122.70	93.90	-61.50
108.30	43.50	-69.90
86.70	-6.90	-72.90
77.10	-47.70	-64.50
120.30	-71.70	-48.90
129.90	-59.70	-40.50
122.70	-50.10	-40.50
134.70	-33.30	-53.10
93.90	41.10	-75.90
55.50	122.70	-79.50
62.70	240.30	-60.30
79.50	247.50	-31.50
96.30	199.50	-5.70
98.70	139.50	5.10
108.30	96.30	5.10
127.50	17.10	-5.10
141.90	-21.30	-20.10
137.10	-33.30	-35.70
139.50	-38.10	-38.70
144.30	-26.10	-31.50
158.70	-26.10	-21.30
141.90	2.70	-16.50
153.90	36.30	-10.50
149.10	103.50	-14.70
137.10	168.30	-20.10
117.90	185.10	-47.10
122.70	163.50	-61.50
74.70	149.10	-77.10
50.70	101.10	-81.90
81.90	7.50	-75.90
101.10	-50.10	-63.30
103.50	-81.30	-49.50
113.10	-64.50	-42.30
117.90	-50.10	-52.50
101.10	-38.10	-63.30
74.70	38.70	-78.90
67.50	168.30	-77.10
43.50	233.10	-62.70
45.90	285.90	-48.90
33.90	285.90	-27.30
69.90	261.90	-17.70
93.90	223.50	-26.10
115.50	237.90	-39.90
101.10	225.90	-51.90
101.10	254.70	-37.50
105.90	252.30	-31.50
134.70	204.30	-31.50
144.30	165.90	-43.50
156.30	158.70	-42.90
156.30	161.10	-29.70
134.70	151.50	-19.50
146.70	110.70	-15.90
153.90	101.10	-17.10
158.70	101.10	-18.30
134.70	182.70	-32.10
146.70	189.90	-29.70
141.90	173.10	-25.50
127.50	182.70	-31.50
146.70	173.10	-44.10
129.90	108.30	-62.10
108.30	69.90	-66.90
93.90	31.50	-70.50
93.90	-23.70	-65.70
117.90	-62.10	-51.30
103.50	-78.90	-40.50
115.50	-74.10	-35.10
115.50	-69.30	-43.50
117.90	-2.10	-62.10
105.90	79.50	-72.30
93.90	192.30	-65.10
101.10	242.70	-42.90
91.50	240.30	-18.90
98.70	185.10	-3.90
96.30	105.90	6.90
93.90	5.10	3.90
91.50	-45.30	-4.50
127.50	-64.50	-16.50
141.90	-64.50	-24.90
144.30	-66.90	-24.90
129.90	-18.90	-17.70
137.10	24.30	-11.70
151.50	89.10	-14.10
156.30	146.70	-29.70
146.70	163.50	-47.10
110.70	149.10	-63.30
86.70	105.90	-76.50
79.50	43.50	-78.30
84.30	-26.10	-70.50
91.50	-66.90	-53.70
103.50	-90.90	-42.30
113.10	-78.90	-40.50
110.70	-52.50	-47.10
120.30	-4.50	-66.90
101.10	89.10	-75.90
120.30	177.90	-59.10
108.30	228.30	-26.70
93.90	185.10	-2.10
103.50	81.90	6.30
120.30	29.10	-1.50
79.50	-28.50	4.50
110.70	-62.10	-6.30
113.10	-54.90	-17.10
115.50	-62.10	-21.90
117.90	-47.70	-15.30
125.10	-23.70	-8.10
144.30	14.70	-12.30
132.30	29.10	-8.10
149.10	86.70	-10.50
146.70	137.10	-20.10
149.10	165.90	-31.50
132.30	144.30	-56.70
108.30	98.70	-69.90
81.90	29.10	-72.90
96.30	-50.10	-66.90
84.30	-90.90	-50.10
79.50	-110.10	-42.90
91.50	-102.90	-41.70
105.90	-54.90	-60.30
117.90	26.70	-74.10
110.70	137.10	-66.90
113.10	204.30	-48.90
101.10	225.90	-23.70
98.70	218.70	-9.90
103.50	117.90	3.90
103.50	53.10	6.90
129.90	-18.90	-5.10
125.10	-54.90	-26.70
144.30	-50.10	-38.70
127.50	-50.10	-35.10
125.10	-14.10	-14.10
122.70	12.30	-5.70
127.50	81.90	-5.70
141.90	177.90	-29.10
141.90	170.70	-45.30
105.90	139.50	-67.50
67.50	89.10	-80.10
67.50	-26.10	-72.90
98.70	-81.30	-54.30
110.70	-76.50	-43.50
125.10	-42.90	-39.90
122.70	-59.70	-51.90
81.90	-30.90	-70.50
89.10	45.90	-78.30
74.70	161.10	-74.10
65.10	245.10	-65.70
62.70	264.30	-47.10
62.70	271.50	-36.90
115.50	221.10	-23.70
163.50	158.70	-17.70
146.70	113.10	-15.30
165.90	65.10	-18.30
144.30	21.90	-14.10
151.50	7.50	-17.70
137.10	-38.10	-37.50
86.70	-69.30	-54.30
29.10	-110.10	-68.10
-30.90	-136.50	-59.70
-69.30	-138.90	-62.70
-78.90	-134.10	-60.90
-88.50	-146.10	-53.70
-136.50	-158.10	-49.50
-153.30	-153.30	-38.70
-119.70	-162.90	-35.10
-81.30	-158.10	-14.10
-33.30	-141.30	-3.90
14.70	-110.10	2.70
21.90	-117.30	-2.10
69.90	-98.10	-13.50
117.90	-81.30	-27.90
105.90	-95.70	-36.30
67.50	-112.50	-14.70
9.90	-112.50	-2.10
-107.70	-102.90	11.10
-225.30	-66.90	0.30
-314.10	-40.50	-24.30
-304.50	74.70	-63.90
-215.70	7.50	-82.50
-81.30	-50.10	-82.50
33.90	-102.90	-64.50
84.30	-110.10	-38.70
115.50	-78.90	-23.70
93.90	-76.50	-11.70
21.90	-74.10	4.50
2.70	-54.90	10.50
77.10	-69.30	-4.50
110.70	-81.30	-33.90
41.10	-81.30	-66.30
-45.30	-81.30	-75.90
-234.90	-40.50	-68.70
-268.50	-59.70	-7.50
-294.90	-40.50	-9.30
-158.10	-45.30	16.50
-71.70	-54.90	18.90
38.70	-76.50	5.10
84.30	-93.30	-11.10
115.50	-64.50	-26.70
125.10	-59.70	-43.50
125.10	-52.50	-42.30
122.70	-69.30	-27.30
96.30	-81.30	-6.90
48.30	-47.70	8.10
-9.30	-38.10	19.50
-131.70	-9.30	22.50
-261.30	9.90	8.10
-309.30	45.90	-5.10
-333.30	33.90	-39.30
-290.10	-4.50	-66.30
-172.50	-2.10	-84.30
-69.30	-54.90	-81.30
19.50	-95.70	-69.30
93.90	-98.10	-41.70
115.50	-66.90	-19.50
125.10	-52.50	-15.90
